iter	Passed	Remaining
0	1	153
1	3	149
2	4	145
3	5	136
4	7	133
5	8	133
6	9	132
7	11	131
8	12	128
9	14	126
10	15	124
11	16	123
12	18	121
13	19	120
14	21	119
15	22	118
16	23	117
17	25	116
18	26	114
19	28	113
20	29	112
21	31	111
22	32	109
23	34	108
24	35	107
25	37	107
26	39	105
27	40	104
28	42	103
29	43	102
30	45	101
31	46	99
32	48	98
33	49	96
34	51	96
35	53	94
36	54	93
37	56	91
38	57	90
39	59	88
40	60	87
41	61	84
42	62	83
43	64	81
44	65	80
45	67	79
46	69	77
47	70	76
48	71	74
49	73	73
50	74	71
51	75	70
52	77	68
53	78	67
54	79	65
55	81	63
56	82	62
57	83	60
58	85	59
59	86	57
60	88	56
61	89	54
62	90	53
63	92	51
64	93	50
65	94	48
66	96	47
67	97	45
68	99	44
69	100	43
70	101	41
71	103	40
72	104	38
73	106	37
74	107	35
75	108	34
76	110	32
77	111	31
78	112	29
79	114	28
80	115	27
81	116	25
82	118	24
83	119	22
84	120	21
85	122	19
86	123	18
87	125	17
88	126	15
89	128	14
90	129	12
91	130	11
92	132	9
93	133	8
94	135	7
95	136	5
96	138	4
97	139	2
98	140	1
99	142	0
